pig_age_days,avg_weight,feed_quantity,number_of_feeding_per_day,feeding_time_1,feeding_time_2,feeding_time_3,pen_capacity,pen_status,growth_stage,feed_type,device_code,repeat_days
124,67.02,4.97,3,6:26 am,12:55 pm,16:35 pm,16,inactive,hog grower,hog grower,auto_feeder_v2,everyday
82,44.51,5.23,3,5:27 am,11:02 am,18:32 pm,10,inactive,hog grower,hog grower,manual,everyday
164,89.8,6.94,3,5:25 am,11:22 am,16:35 pm,15,active,hog finisher,hog finisher,auto_feeder_v2,everyday
77,43.54,3.49,3,5:20 am,11:21 am,16:43 pm,7,active,hog starter,hog starter,manual,everyday
122,65.9,5.35,3,5:00 am,12:39 pm,18:29 pm,15,active,hog grower,hog grower,auto_feeder_v2,everyday
91,48.86,3.73,3,5:14 am,11:59 am,16:07 pm,6,active,hog grower,hog grower,auto_feeder_v2,everyday
65,35.05,2.49,3,5:54 am,11:32 am,16:41 pm,20,active,hog starter,hog starter,auto_feeder_v2,everyday
54,29.91,3.06,3,6:03 am,12:29 pm,18:51 pm,10,active,hog starter,hog starter,auto_feeder_v1,everyday
165,90.16,5.68,3,5:55 am,11:02 am,17:49 pm,11,active,hog finisher,hog finisher,auto_feeder_v2,everyday
154,84.33,5.57,3,5:42 am,12:55 pm,16:50 pm,8,active,hog finisher,hog finisher,auto_feeder_v2,everyday
43,23.15,1.37,3,5:51 am,11:22 am,18:15 pm,8,active,hog pre-starter,hog pre-starter,auto_feeder_v2,everyday
171,93.14,6.03,3,5:15 am,12:36 pm,16:36 pm,14,active,hog finisher,hog finisher,auto_feeder_v2,everyday
131,70.77,6.24,3,6:55 am,11:54 am,18:14 pm,11,active,hog finisher,hog finisher,manual,everyday
127,68.68,4.75,3,7:44 am,11:09 am,17:20 pm,14,active,hog grower,hog grower,auto_feeder_v1,everyday
112,60.84,3.68,3,5:27 am,12:00 pm,17:33 pm,10,active,hog grower,hog grower,manual,everyday
175,96.49,5.63,3,5:49 am,12:03 pm,18:18 pm,7,active,hog finisher,hog finisher,auto_feeder_v1,everyday
137,76.37,6.17,3,7:25 am,11:22 am,17:02 pm,11,active,hog finisher,hog finisher,auto_feeder_v1,everyday
115,62.09,4.29,3,6:19 am,12:05 pm,18:54 pm,7,active,hog grower,hog grower,auto_feeder_v2,everyday
89,49.4,4.22,3,6:25 am,11:05 am,16:30 pm,20,active,hog grower,hog grower,manual,everyday
43,22.66,1.55,3,6:00 am,11:55 am,17:29 pm,11,active,hog pre-starter,hog pre-starter,auto_feeder_v2,everyday
87,48.5,4.43,3,5:44 am,12:24 pm,17:31 pm,17,active,hog grower,hog grower,auto_feeder_v1,everyday
138,74.97,5.99,3,6:50 am,12:57 pm,17:16 pm,20,inactive,hog finisher,hog finisher,manual,everyday
33,18.01,1.47,3,6:16 am,11:39 am,18:10 pm,14,active,hog pre-starter,hog pre-starter,auto_feeder_v1,everyday
153,85.51,6.7,3,5:11 am,11:26 am,16:36 pm,10,active,hog finisher,hog finisher,manual,everyday
167,91.39,6.54,3,7:30 am,11:01 am,18:42 pm,14,active,hog finisher,hog finisher,manual,everyday
112,61.45,4.36,3,6:01 am,12:45 pm,18:24 pm,12,active,hog grower,hog grower,auto_feeder_v1,everyday
70,39.79,3.08,3,6:13 am,12:03 pm,17:26 pm,9,inactive,hog starter,hog starter,manual,everyday
78,42.59,3.24,3,5:22 am,11:46 am,17:29 pm,15,active,hog starter,hog starter,auto_feeder_v1,everyday
177,98.48,5.89,3,5:35 am,11:17 am,17:14 pm,16,active,hog finisher,hog finisher,auto_feeder_v2,everyday
118,64.42,4.57,3,7:00 am,12:52 pm,18:14 pm,15,active,hog grower,hog grower,auto_feeder_v2,everyday
110,59.77,4.18,3,5:52 am,11:22 am,18:59 pm,11,inactive,hog grower,hog grower,auto_feeder_v2,everyday
71,40.47,2.46,3,7:16 am,12:20 pm,16:22 pm,9,active,hog starter,hog starter,auto_feeder_v2,everyday
117,63.16,5.43,3,5:53 am,11:10 am,18:45 pm,11,active,hog grower,hog grower,manual,everyday
94,51.73,4.65,3,5:28 am,12:15 pm,18:26 pm,12,active,hog grower,hog grower,auto_feeder_v1,everyday
31,18.01,1.71,3,7:37 am,11:34 am,16:14 pm,11,active,hog pre-starter,hog pre-starter,manual,everyday
120,67.34,4.86,3,5:51 am,11:52 am,18:22 pm,17,active,hog grower,hog grower,manual,everyday
149,81.24,5.8,3,7:14 am,11:26 am,18:36 pm,12,active,hog finisher,hog finisher,manual,everyday
39,20.56,1.32,3,6:15 am,11:09 am,17:31 pm,17,active,hog pre-starter,hog pre-starter,auto_feeder_v1,everyday
61,32.76,2.56,3,7:54 am,12:44 pm,17:23 pm,17,active,hog starter,hog starter,auto_feeder_v1,everyday
62,34.91,3.37,3,7:57 am,12:32 pm,18:19 pm,15,active,hog starter,hog starter,auto_feeder_v2,everyday
131,71.91,6.66,3,5:24 am,12:47 pm,16:03 pm,17,active,hog finisher,hog finisher,manual,everyday
50,27.48,1.68,3,7:26 am,11:23 am,16:34 pm,10,active,hog pre-starter,hog pre-starter,auto_feeder_v1,everyday
151,84.38,6.12,3,6:55 am,11:12 am,17:38 pm,7,active,hog finisher,hog finisher,auto_feeder_v1,everyday
50,26.91,1.42,3,6:04 am,12:31 pm,17:59 pm,5,inactive,hog pre-starter,hog pre-starter,manual,everyday
112,63.04,4.36,3,6:11 am,12:01 pm,16:36 pm,9,active,hog grower,hog grower,auto_feeder_v1,everyday
155,85.35,5.77,3,6:20 am,12:41 pm,16:33 pm,8,active,hog finisher,hog finisher,manual,everyday
67,38.27,2.14,3,6:53 am,11:24 am,16:37 pm,20,active,hog starter,hog starter,manual,everyday
84,44.85,5.03,3,7:17 am,12:14 pm,16:11 pm,10,inactive,hog grower,hog grower,manual,everyday
104,58.54,4.34,3,6:02 am,11:07 am,16:02 pm,15,active,hog grower,hog grower,auto_feeder_v2,everyday
96,51.93,5.27,3,6:45 am,11:07 am,17:17 pm,19,active,hog grower,hog grower,auto_feeder_v1,everyday
137,74.68,5.92,3,5:05 am,12:02 pm,18:30 pm,8,active,hog finisher,hog finisher,auto_feeder_v1,everyday
74,41.41,2.56,3,6:48 am,11:22 am,17:11 pm,11,active,hog starter,hog starter,auto_feeder_v2,everyday
36,19.32,1.77,3,7:17 am,11:16 am,16:52 pm,14,active,hog pre-starter,hog pre-starter,auto_feeder_v1,everyday
176,96.16,6.67,3,7:26 am,12:28 pm,17:04 pm,15,active,hog finisher,hog finisher,auto_feeder_v1,everyday
68,38.29,2.33,3,6:46 am,11:55 am,16:29 pm,20,inactive,hog starter,hog starter,manual,everyday
105,59.22,4.89,3,7:33 am,12:15 pm,16:22 pm,11,active,hog grower,hog grower,auto_feeder_v1,everyday
131,73.19,6.6,3,6:31 am,11:18 am,16:40 pm,20,active,hog finisher,hog finisher,manual,everyday
167,91.67,5.92,3,7:55 am,12:54 pm,18:45 pm,19,active,hog finisher,hog finisher,auto_feeder_v1,everyday
44,24.34,1.76,3,6:13 am,12:47 pm,16:12 pm,13,active,hog pre-starter,hog pre-starter,manual,everyday
158,85.5,6.02,3,7:18 am,11:41 am,18:25 pm,8,inactive,hog finisher,hog finisher,auto_feeder_v1,everyday
36,18.87,1.46,3,7:45 am,12:27 pm,18:51 pm,16,active,hog pre-starter,hog pre-starter,auto_feeder_v2,everyday
107,58.62,4.75,3,7:36 am,12:22 pm,16:59 pm,18,active,hog grower,hog grower,manual,everyday
48,26.96,1.5,3,5:58 am,11:10 am,16:09 pm,5,active,hog pre-starter,hog pre-starter,manual,everyday
84,45.63,5.4,3,5:17 am,12:19 pm,18:24 pm,15,active,hog grower,hog grower,auto_feeder_v2,everyday
163,89.8,5.88,3,5:00 am,12:49 pm,18:49 pm,9,active,hog finisher,hog finisher,auto_feeder_v1,everyday
69,39.11,2.32,3,6:39 am,11:58 am,17:08 pm,10,active,hog starter,hog starter,manual,everyday
95,51.36,3.8,3,5:56 am,11:41 am,18:03 pm,15,active,hog grower,hog grower,manual,everyday
174,95.0,5.76,3,5:01 am,12:36 pm,16:58 pm,5,active,hog finisher,hog finisher,auto_feeder_v1,everyday
40,21.62,1.51,3,5:01 am,12:42 pm,17:26 pm,10,active,hog pre-starter,hog pre-starter,manual,everyday
142,79.19,6.3,3,6:42 am,11:12 am,16:18 pm,12,active,hog finisher,hog finisher,auto_feeder_v2,everyday
56,30.4,3.34,3,7:18 am,12:44 pm,17:33 pm,14,active,hog starter,hog starter,auto_feeder_v1,everyday
37,20.96,1.63,3,5:30 am,12:53 pm,16:30 pm,16,active,hog pre-starter,hog pre-starter,auto_feeder_v1,everyday
173,96.23,6.16,3,6:50 am,11:26 am,18:56 pm,5,active,hog finisher,hog finisher,auto_feeder_v1,everyday
43,22.97,1.29,3,5:49 am,11:13 am,16:36 pm,7,active,hog pre-starter,hog pre-starter,auto_feeder_v2,everyday
96,52.84,4.31,3,6:11 am,12:27 pm,17:33 pm,11,active,hog grower,hog grower,auto_feeder_v1,everyday
172,93.97,5.59,3,6:36 am,11:20 am,17:52 pm,8,active,hog finisher,hog finisher,manual,everyday
86,47.17,5.15,3,5:48 am,12:55 pm,16:58 pm,9,inactive,hog grower,hog grower,auto_feeder_v2,everyday
64,34.44,3.34,3,5:23 am,12:17 pm,17:53 pm,12,active,hog starter,hog starter,auto_feeder_v2,everyday
42,21.93,1.25,3,7:35 am,12:13 pm,18:05 pm,11,active,hog pre-starter,hog pre-starter,auto_feeder_v2,everyday
130,71.32,4.45,3,7:07 am,11:37 am,18:39 pm,7,active,hog grower,hog grower,auto_feeder_v1,everyday
56,29.64,2.99,3,5:43 am,12:43 pm,16:16 pm,11,active,hog starter,hog starter,auto_feeder_v1,everyday
39,22.04,1.77,3,5:30 am,12:52 pm,16:39 pm,15,inactive,hog pre-starter,hog pre-starter,auto_feeder_v2,everyday
88,47.4,3.79,3,6:25 am,12:30 pm,16:43 pm,14,active,hog grower,hog grower,manual,everyday
37,19.42,1.37,3,6:17 am,12:16 pm,17:30 pm,17,active,hog pre-starter,hog pre-starter,auto_feeder_v2,everyday
97,53.36,3.59,3,5:37 am,12:03 pm,16:17 pm,17,active,hog grower,hog grower,manual,everyday
129,71.65,4.59,3,6:10 am,12:26 pm,18:33 pm,11,active,hog grower,hog grower,manual,everyday
75,42.69,2.29,3,5:07 am,11:35 am,17:30 pm,5,active,hog starter,hog starter,auto_feeder_v1,everyday
66,36.62,3.04,3,7:53 am,12:46 pm,17:01 pm,9,active,hog starter,hog starter,auto_feeder_v2,everyday
97,53.23,4.95,3,6:06 am,12:50 pm,18:52 pm,17,inactive,hog grower,hog grower,manual,everyday
74,41.13,2.93,3,5:18 am,11:25 am,18:37 pm,9,inactive,hog starter,hog starter,auto_feeder_v1,everyday
168,93.18,6.95,3,5:14 am,12:09 pm,18:41 pm,14,active,hog finisher,hog finisher,manual,everyday
171,94.45,6.53,3,6:39 am,11:21 am,18:43 pm,12,inactive,hog finisher,hog finisher,auto_feeder_v1,everyday
75,39.8,3.48,3,7:13 am,11:14 am,17:00 pm,6,active,hog starter,hog starter,auto_feeder_v1,everyday
101,55.48,4.12,3,5:20 am,11:31 am,17:23 pm,6,active,hog grower,hog grower,auto_feeder_v2,everyday
98,54.57,5.32,3,7:07 am,12:08 pm,17:45 pm,11,active,hog grower,hog grower,auto_feeder_v2,everyday
108,58.93,5.45,3,5:08 am,11:16 am,17:26 pm,16,inactive,hog grower,hog grower,auto_feeder_v1,everyday
96,52.99,4.55,3,5:55 am,11:19 am,16:16 pm,12,active,hog grower,hog grower,manual,everyday
48,25.54,1.74,3,5:03 am,11:23 am,17:58 pm,19,active,hog pre-starter,hog pre-starter,auto_feeder_v1,everyday
132,73.93,6.15,3,7:32 am,12:34 pm,16:16 pm,15,active,hog finisher,hog finisher,auto_feeder_v1,everyday
40,22.48,1.38,3,5:27 am,12:56 pm,17:37 pm,11,active,hog pre-starter,hog pre-starter,auto_feeder_v1,everyday
138,75.57,6.64,3,5:38 am,12:33 pm,16:14 pm,6,active,hog finisher,hog finisher,auto_feeder_v2,everyday
126,68.76,3.88,3,6:20 am,11:36 am,16:46 pm,19,active,hog grower,hog grower,auto_feeder_v1,everyday
111,59.73,3.7,3,5:06 am,11:56 am,16:53 pm,5,active,hog grower,hog grower,auto_feeder_v1,everyday
164,89.15,5.65,3,7:09 am,12:31 pm,17:49 pm,5,inactive,hog finisher,hog finisher,auto_feeder_v2,everyday
102,56.94,4.26,3,6:29 am,11:09 am,18:04 pm,7,active,hog grower,hog grower,manual,everyday
95,52.06,4.25,3,6:34 am,11:58 am,16:01 pm,8,active,hog grower,hog grower,manual,everyday
106,57.69,5.05,3,7:57 am,11:59 am,16:07 pm,9,active,hog grower,hog grower,auto_feeder_v2,everyday
176,96.6,5.88,3,6:03 am,11:03 am,17:39 pm,15,active,hog finisher,hog finisher,auto_feeder_v1,everyday
165,91.67,6.65,3,7:02 am,11:53 am,18:36 pm,9,active,hog finisher,hog finisher,manual,everyday
175,95.27,6.67,3,5:22 am,11:14 am,18:12 pm,12,active,hog finisher,hog finisher,auto_feeder_v2,everyday
170,94.37,6.32,3,5:35 am,12:30 pm,17:08 pm,15,inactive,hog finisher,hog finisher,manual,everyday
92,49.89,3.75,3,5:03 am,11:58 am,17:47 pm,19,active,hog grower,hog grower,auto_feeder_v2,everyday
45,25.32,1.53,3,5:07 am,11:07 am,16:00 pm,17,active,hog pre-starter,hog pre-starter,auto_feeder_v1,everyday
96,53.46,4.79,3,6:27 am,11:33 am,18:19 pm,8,active,hog grower,hog grower,auto_feeder_v2,everyday
106,56.98,4.11,3,6:52 am,12:18 pm,18:42 pm,13,active,hog grower,hog grower,auto_feeder_v1,everyday
36,18.59,1.57,3,6:40 am,11:17 am,17:44 pm,15,inactive,hog pre-starter,hog pre-starter,manual,everyday
87,47.14,3.88,3,5:44 am,12:25 pm,16:48 pm,12,active,hog grower,hog grower,manual,everyday
113,63.51,3.8,3,5:09 am,11:50 am,17:20 pm,14,active,hog grower,hog grower,manual,everyday
81,45.2,5.41,3,7:54 am,12:48 pm,16:26 pm,10,inactive,hog grower,hog grower,auto_feeder_v2,everyday
128,69.14,3.85,3,5:40 am,11:03 am,18:24 pm,15,active,hog grower,hog grower,manual,everyday
97,52.13,4.74,3,5:25 am,11:46 am,18:11 pm,13,inactive,hog grower,hog grower,auto_feeder_v1,everyday
36,19.13,1.78,3,7:57 am,11:55 am,16:19 pm,6,active,hog pre-starter,hog pre-starter,manual,everyday
66,37.1,3.18,3,6:33 am,12:57 pm,18:59 pm,6,active,hog starter,hog starter,auto_feeder_v1,everyday
64,34.08,2.31,3,5:07 am,11:05 am,16:18 pm,20,active,hog starter,hog starter,auto_feeder_v2,everyday
76,41.68,3.13,3,5:52 am,12:25 pm,16:05 pm,18,active,hog starter,hog starter,auto_feeder_v2,everyday
168,92.45,6.65,3,6:53 am,11:24 am,16:57 pm,8,active,hog finisher,hog finisher,auto_feeder_v1,everyday
50,27.21,1.58,3,6:23 am,11:16 am,18:31 pm,10,active,hog pre-starter,hog pre-starter,auto_feeder_v2,everyday
151,83.53,6.75,3,5:23 am,12:53 pm,16:39 pm,17,active,hog finisher,hog finisher,auto_feeder_v2,everyday
88,49.68,4.82,3,7:51 am,12:02 pm,16:05 pm,8,active,hog grower,hog grower,manual,everyday
167,91.23,6.2,3,5:13 am,11:22 am,17:51 pm,19,active,hog finisher,hog finisher,auto_feeder_v1,everyday
35,19.41,1.22,3,7:00 am,11:03 am,17:33 pm,17,inactive,hog pre-starter,hog pre-starter,auto_feeder_v2,everyday
44,25.07,1.3,3,5:46 am,12:06 pm,17:38 pm,20,inactive,hog pre-starter,hog pre-starter,auto_feeder_v2,everyday
61,34.5,2.12,3,6:12 am,12:30 pm,16:03 pm,8,active,hog starter,hog starter,auto_feeder_v2,everyday
112,61.81,4.57,3,7:03 am,11:16 am,17:26 pm,13,active,hog grower,hog grower,auto_feeder_v1,everyday
100,54.22,4.35,3,7:08 am,12:04 pm,18:06 pm,6,active,hog grower,hog grower,auto_feeder_v1,everyday
130,71.24,3.51,3,6:00 am,11:50 am,18:30 pm,20,active,hog grower,hog grower,auto_feeder_v1,everyday
141,76.29,6.21,3,6:41 am,12:12 pm,18:58 pm,6,active,hog finisher,hog finisher,auto_feeder_v2,everyday
56,30.76,2.08,3,6:50 am,12:42 pm,18:52 pm,5,inactive,hog starter,hog starter,manual,everyday
61,35.03,2.12,3,6:49 am,12:08 pm,17:04 pm,15,active,hog starter,hog starter,manual,everyday
121,67.29,3.53,3,7:22 am,12:01 pm,17:36 pm,13,active,hog grower,hog grower,auto_feeder_v1,everyday
128,70.03,5.07,3,7:13 am,11:54 am,17:05 pm,11,active,hog grower,hog grower,auto_feeder_v2,everyday
83,46.45,4.4,3,6:04 am,11:20 am,16:43 pm,19,active,hog grower,hog grower,manual,everyday
40,23.34,1.65,3,6:21 am,11:31 am,17:58 pm,15,active,hog pre-starter,hog pre-starter,manual,everyday
46,24.34,1.29,3,7:59 am,12:46 pm,17:06 pm,16,active,hog pre-starter,hog pre-starter,auto_feeder_v2,everyday
108,59.5,4.18,3,5:19 am,12:17 pm,18:33 pm,7,active,hog grower,hog grower,manual,everyday
119,65.67,4.45,3,6:01 am,11:34 am,18:38 pm,12,inactive,hog grower,hog grower,auto_feeder_v1,everyday
101,56.2,4.78,3,7:28 am,11:49 am,18:05 pm,17,active,hog grower,hog grower,auto_feeder_v2,everyday
152,83.59,6.3,3,7:59 am,11:48 am,16:06 pm,19,active,hog finisher,hog finisher,auto_feeder_v2,everyday
73,40.62,2.37,3,5:11 am,12:06 pm,16:09 pm,7,inactive,hog starter,hog starter,auto_feeder_v2,everyday
42,22.94,1.63,3,6:53 am,11:49 am,17:59 pm,9,active,hog pre-starter,hog pre-starter,auto_feeder_v2,everyday
137,73.96,6.69,3,6:10 am,12:48 pm,18:02 pm,14,active,hog finisher,hog finisher,auto_feeder_v2,everyday
152,84.37,6.13,3,6:14 am,12:05 pm,17:26 pm,15,active,hog finisher,hog finisher,manual,everyday
100,54.51,4.6,3,5:22 am,11:11 am,18:36 pm,7,active,hog grower,hog grower,auto_feeder_v1,everyday
177,96.53,5.64,3,5:46 am,12:35 pm,18:44 pm,13,inactive,hog finisher,hog finisher,manual,everyday
115,62.16,4.79,3,7:13 am,12:10 pm,17:25 pm,12,active,hog grower,hog grower,auto_feeder_v1,everyday
51,26.62,3.41,3,5:53 am,12:52 pm,17:59 pm,12,active,hog starter,hog starter,auto_feeder_v1,everyday
170,92.85,6.03,3,6:54 am,11:40 am,17:10 pm,18,active,hog finisher,hog finisher,auto_feeder_v1,everyday
61,34.36,2.52,3,5:35 am,12:29 pm,17:30 pm,5,active,hog starter,hog starter,manual,everyday
159,87.88,6.9,3,7:51 am,11:16 am,18:27 pm,17,active,hog finisher,hog finisher,auto_feeder_v2,everyday
102,57.12,4.34,3,6:10 am,12:26 pm,18:14 pm,19,active,hog grower,hog grower,auto_feeder_v2,everyday
61,32.43,2.05,3,6:58 am,12:45 pm,16:32 pm,8,active,hog starter,hog starter,auto_feeder_v1,everyday
110,60.29,3.89,3,6:01 am,11:03 am,16:54 pm,20,active,hog grower,hog grower,manual,everyday
48,26.61,1.74,3,6:40 am,12:21 pm,16:07 pm,13,active,hog pre-starter,hog pre-starter,manual,everyday
84,46.66,5.39,3,6:05 am,12:02 pm,18:11 pm,20,active,hog grower,hog grower,auto_feeder_v1,everyday
108,59.81,4.77,3,7:58 am,12:05 pm,17:31 pm,10,active,hog grower,hog grower,auto_feeder_v2,everyday
62,33.36,2.63,3,6:01 am,12:23 pm,18:07 pm,13,inactive,hog starter,hog starter,auto_feeder_v1,everyday
37,19.35,1.24,3,7:44 am,11:00 am,16:46 pm,6,active,hog pre-starter,hog pre-starter,auto_feeder_v1,everyday
94,51.79,5.41,3,5:45 am,11:01 am,16:49 pm,18,active,hog grower,hog grower,auto_feeder_v1,everyday
41,23.08,1.33,3,7:14 am,11:04 am,16:44 pm,9,active,hog pre-starter,hog pre-starter,auto_feeder_v2,everyday
64,36.6,2.33,3,5:43 am,11:13 am,18:42 pm,17,active,hog starter,hog starter,auto_feeder_v2,everyday
117,64.29,3.55,3,7:32 am,12:05 pm,16:12 pm,17,active,hog grower,hog grower,auto_feeder_v1,everyday
122,68.44,5.5,3,6:18 am,12:19 pm,18:43 pm,11,active,hog grower,hog grower,auto_feeder_v1,everyday
37,21.71,1.62,3,7:18 am,12:26 pm,18:17 pm,15,active,hog pre-starter,hog pre-starter,auto_feeder_v1,everyday
130,72.37,4.89,3,7:33 am,12:15 pm,18:25 pm,13,active,hog grower,hog grower,manual,everyday
37,21.46,1.3,3,5:22 am,12:28 pm,16:18 pm,13,active,hog pre-starter,hog pre-starter,manual,everyday
108,58.26,4.97,3,5:00 am,11:30 am,16:17 pm,19,inactive,hog grower,hog grower,auto_feeder_v1,everyday
169,94.14,6.32,3,7:58 am,12:09 pm,17:00 pm,18,inactive,hog finisher,hog finisher,auto_feeder_v1,everyday
162,90.35,5.65,3,6:28 am,12:58 pm,16:16 pm,15,active,hog finisher,hog finisher,auto_feeder_v1,everyday
71,40.51,3.02,3,7:29 am,12:01 pm,18:30 pm,13,active,hog starter,hog starter,auto_feeder_v1,everyday
60,31.85,2.78,3,5:37 am,11:50 am,17:57 pm,16,active,hog starter,hog starter,manual,everyday
170,92.57,6.63,3,7:45 am,12:35 pm,16:42 pm,19,active,hog finisher,hog finisher,manual,everyday
97,52.81,3.62,3,5:29 am,12:57 pm,17:00 pm,16,active,hog grower,hog grower,manual,everyday
44,24.04,1.61,3,7:50 am,11:54 am,17:39 pm,7,active,hog pre-starter,hog pre-starter,manual,everyday
92,50.79,4.69,3,7:51 am,11:41 am,16:45 pm,5,inactive,hog grower,hog grower,auto_feeder_v1,everyday
68,37.68,2.71,3,6:17 am,11:24 am,18:21 pm,10,inactive,hog starter,hog starter,manual,everyday
73,41.57,2.05,3,6:18 am,12:43 pm,16:47 pm,12,active,hog starter,hog starter,auto_feeder_v2,everyday
122,67.56,4.53,3,6:07 am,11:03 am,17:42 pm,15,active,hog grower,hog grower,manual,everyday
127,69.66,4.16,3,6:40 am,11:27 am,17:47 pm,14,active,hog grower,hog grower,auto_feeder_v1,everyday
145,78.91,5.93,3,7:55 am,12:14 pm,16:48 pm,6,active,hog finisher,hog finisher,auto_feeder_v2,everyday
90,50.43,3.5,3,6:48 am,12:15 pm,18:45 pm,5,active,hog grower,hog grower,auto_feeder_v2,everyday
175,95.9,6.8,3,7:13 am,12:18 pm,18:17 pm,15,active,hog finisher,hog finisher,manual,everyday
80,43.55,2.59,3,7:22 am,11:46 am,17:12 pm,5,active,hog starter,hog starter,auto_feeder_v2,everyday
100,55.33,3.78,3,6:10 am,12:00 pm,18:33 pm,11,active,hog grower,hog grower,auto_feeder_v2,everyday
97,54.56,4.51,3,5:54 am,11:07 am,18:51 pm,16,active,hog grower,hog grower,auto_feeder_v1,everyday
83,44.84,5.08,3,6:15 am,11:25 am,17:43 pm,14,active,hog grower,hog grower,auto_feeder_v1,everyday
41,23.83,1.39,3,6:48 am,12:58 pm,17:49 pm,11,active,hog pre-starter,hog pre-starter,manual,everyday
37,21.39,1.62,3,7:53 am,11:42 am,16:47 pm,13,active,hog pre-starter,hog pre-starter,auto_feeder_v2,everyday
38,20.09,1.47,3,6:15 am,12:48 pm,17:11 pm,5,active,hog pre-starter,hog pre-starter,manual,everyday
124,68.06,3.78,3,6:16 am,12:50 pm,16:29 pm,19,active,hog grower,hog grower,auto_feeder_v1,everyday
77,43.02,2.81,3,7:24 am,11:11 am,17:02 pm,9,active,hog starter,hog starter,manual,everyday
97,54.16,4.33,3,5:32 am,11:23 am,17:58 pm,8,active,hog grower,hog grower,manual,everyday
62,33.01,2.33,3,6:33 am,11:47 am,16:28 pm,11,active,hog starter,hog starter,manual,everyday
49,27.8,1.42,3,7:09 am,12:10 pm,16:07 pm,15,inactive,hog pre-starter,hog pre-starter,auto_feeder_v1,everyday
158,87.02,5.87,3,7:06 am,11:57 am,18:20 pm,19,inactive,hog finisher,hog finisher,manual,everyday
55,29.89,3.42,3,7:54 am,12:16 pm,17:35 pm,19,active,hog starter,hog starter,auto_feeder_v2,everyday
84,46.58,4.58,3,7:36 am,12:25 pm,18:51 pm,12,active,hog grower,hog grower,auto_feeder_v2,everyday
142,79.06,6.36,3,5:48 am,12:08 pm,17:57 pm,6,active,hog finisher,hog finisher,auto_feeder_v2,everyday
52,28.34,2.99,3,6:13 am,12:08 pm,16:17 pm,14,active,hog starter,hog starter,auto_feeder_v2,everyday
42,23.74,1.53,3,6:47 am,11:59 am,16:44 pm,18,active,hog pre-starter,hog pre-starter,auto_feeder_v1,everyday
42,22.8,1.22,3,7:23 am,12:16 pm,16:27 pm,12,active,hog pre-starter,hog pre-starter,auto_feeder_v2,everyday
47,27.29,1.39,3,7:21 am,11:36 am,18:40 pm,6,active,hog pre-starter,hog pre-starter,auto_feeder_v1,everyday
128,70.01,3.86,3,6:37 am,11:56 am,17:52 pm,15,inactive,hog grower,hog grower,auto_feeder_v2,everyday
105,57.41,4.22,3,7:14 am,12:40 pm,16:49 pm,12,active,hog grower,hog grower,auto_feeder_v2,everyday
120,65.17,5.02,3,5:45 am,12:19 pm,18:16 pm,20,active,hog grower,hog grower,auto_feeder_v2,everyday
112,61.46,5.16,3,7:36 am,11:41 am,16:22 pm,8,active,hog grower,hog grower,auto_feeder_v2,everyday
69,36.5,2.27,3,6:54 am,11:09 am,17:59 pm,13,active,hog starter,hog starter,auto_feeder_v1,everyday
120,66.07,5.1,3,5:42 am,11:40 am,16:48 pm,20,active,hog grower,hog grower,manual,everyday
